"L" "L.1" "L.2" "L.3" "L.4" "L.5" "L.6" "L.7" "L.8" "L.9" "L.10" "L.11"
"1" 24530.957474132 25431.646445908 23197.8864141932 20276.1041544391 17948.8340872913 17828.3667755612 19143.3664690649 22107.057361136 20084.3423972517 26025.0839650996 25667.7930777112 27837.6080156661
"2" 21961.9999675581 22168.4846614513 22627.6658097859 23018.0328878566 22141.7527568593 22448.6178550858 19511.3387618982 16843.935998076 15567.0541424566 14133.8896298791 13750.0952766218 14689.8707176629
"3" 25627.020775665 25412.267446556 25838.3357953754 26882.1941271697 17774.3563899525 12929.5637291593 13566.4476996981 22285.9146261453 27528.629960215 22351.6984028322 25887.9184342404 18837.1532820685
"4" 24270.0976564297 24842.6122505364 24554.3399530033 26256.0527052185 17087.1134502351 19391.7816612363 18804.1810530327 17022.3836358889 16253.2262408774 16547.1127164122 16400.8454104802 19910.2546489732
"5" 22849.7133184282 21347.5535280113 19208.2143388721 25951.5655022226 19320.1746824644 16432.623049089 24561.580247224 24235.0011247628 27240.5492663671 24470.4274366427 25445.67818099 25326.7764750445
"6" 21879.262397951 22290.6196398653 25074.2387053906 22184.8959503564 23951.6632662025 21616.9456526544 20935.0434788862 22996.4957800309 23062.6400125259 18261.239125281 15969.3645238017 14282.3530367468
"7" 15630.4714869245 18622.3941278599 17364.3568118089 18901.0799562138 14301.8446483167 18910.9491101187 22321.4667297932 25009.0900035202 25454.211703704 24763.5449850555 22860.279670688 21832.2208034169
"8" 23203.1055993754 25746.4257512228 26878.558679743 23485.6287450956 20356.745613289 18494.3099102803 16817.4772984533 14495.7263153459 14730.3089338677 13911.5520197566 14191.9894335483 14484.4813424561
"9" 27705.5724954757 28836.2724768203 26710.4101148163 21984.4002833272 14195.8377225241 13339.5895262402 16211.085068655 28994.4964534331 28173.2912658172 24321.1214743487 22446.5190010728 23368.447056985
"10" 23750.9285794729 25627.240456356 22655.7178551088 20326.3482567108 16272.9249420086 15751.7172747811 17058.28154289 17085.7576844778 14793.7373822172 17653.5309406316 16906.0614781289 18401.1307431369
"11" 30807.3189104358 25605.1288992972 14494.3156352857 11650.4132901817 12555.7510284763 15388.7270939861 19224.3630690418 22409.0838101466 24332.5204196057 30014.6646183636 28167.0082150522 32844.1867838007
"12" 18086.4285431294 20931.0166774389 21886.3420436081 20129.2004655845 18852.2188221662 18798.1818525934 23748.9064133395 26200.4113584586 29576.1512555821 20755.3449684247 16214.9651622125 12449.5762765226
"13" 16116.1121674819 17897.4562397975 18335.5070257828 18701.2109857746 11787.5092639269 14212.4442440251 20124.4039161585 29350.3026795034 29647.1777752051 30247.6802604043 22615.7864975699 18931.3925850727
"14" 24847.3563819676 25703.4540728779 25728.6794281189 26387.7879455013 18735.650430641 13475.6818389268 12879.476527773 15783.5513140836 15931.9629781111 19175.3518360107 14689.0130340501 15330.6925526149
"15" 21160.6886261226 23252.8802457527 25355.6558478027 27009.232880912 21586.5370928056 22822.0782073277 20120.0548505945 18530.9182550197 17656.439453626 16628.8372805713 15423.8129513123 16283.2861769562
"16" 29218.432900572 20517.7802965944 20673.9841304079 24731.5761209254 17609.8859980232 17060.4683988949 21921.3840220263 20083.3461437838 16361.599027969 14051.0279299258 16853.1636099479 17313.0699602229
"17" 19908.0892054054 21729.8383353242 25128.3631699235 22694.3714273666 24873.3029355789 21312.1524687331 19908.9977390255 16827.687218691 14167.5445188994 11876.5162691886 12039.2925042932 10668.9439382852
"18" 17603.0065846513 25978.2416470664 37132.1051432087 28707.8274453701 15208.890569607 21082.7772676711 16515.3432177645 18492.7376893737 17265.5242963455 14561.0466452208 13849.6372985695 14725.3334971479
"19" 29097.1696770702 28903.4556547113 27923.91064711 28830.0666793401 17601.4231448522 14862.2264588829 15953.5413782004 18592.8349182323 17534.8866289707 16474.3018177656 19693.312402281 17689.8239823302
"20" 29865.0416567973 26655.0078946505 23569.4152424156 26125.1463485258 18975.5987159653 14149.4460278258 17130.2682378546 27244.427519224 32115.6179620769 26652.6039912761 26161.4372831871 23139.7192783521
"21" 24085.8397114812 23770.6091015545 26201.5686231452 26739.3555158762 18670.2880387337 14372.4213349415 17803.6560968032 28624.5570631415 27774.545513061 20768.1468315853 19913.2821951223 15108.3801184994
"22" 17617.5830484834 22023.7870893005 18821.520762914 21245.1172823652 16329.7656331137 15580.3171074535 17592.7093106766 28717.6459562024 27423.9182494813 22615.659818478 22914.0816275139 19941.0201704006
"23" 28621.0644287356 23927.6732221361 26502.4001734835 26265.2515548098 15893.1027064626 18734.1771834837 21413.352170808 21153.9530653141 17591.9170414033 18347.6734007665 19974.4885717615 22602.934420061
"24" 24402.9941037281 25134.11709786 26387.4264238031 22679.548818421 17698.3567122773 20176.7113155348 17761.3719720664 16794.5281295938 14366.3266133967 12319.1260201171 12469.3852275269 12487.9376877554
